ROUTE_NO;STOP_NAME;TIMING;LATITUDE;LONGITUDE
15B;"SATHYA STUDIOS";06:45:00;13.016301;80.259822
15B;"ADYAR DEPOT";06:50:00;12.998804;80.256151
15B;THIRUVANMIYUR;06:55:00;12.987444;80.259176
15B;"SRP TOOLS";07:00:00;12.978549;80.252521
15B;THORAIPAKKAM;07:10:00;12.942028;80.236188
15B;SHOLINGANALLUR;07:20:00;12.898805;80.227931
15B;NAVALUR;07:30:00;12.844653;80.226811
15B;KELAMBAKKAM;07:35:00;12.792301;80.216843
15B;VIT;07:50:00;12.840658;80.153187
16;"BESANT NAGAR THEOSOPHICAL SOCIETY";06:40:00;13.007692;80.266572
16;"BESANT NAGAR";06:42:00;13.000843;80.26713
16;NEELANGARAI;06:43:00;12.956302;80.25514
16;SHOLINGANALLUR;07:45:00;12.898797;80.22793
16;"KELAMBAKKAM JUNCTION";07:30:00;12.792305;80.216862
16;"VIT UNIVERSITY";07:50:00;12.840658;80.153187
16A;VGP;07:05:00;12.913022;80.155284
16A;SHOLINGANALLUR;07:20:00;12.898797;80.227931
16A;PERUMBAKKAM;06:25:00;12.907867;80.198474
16A;MEDAVAKKAM;07:30:00;12.919736;80.18213
16A;"MAMBAKKAM JUNCTION";07:45:00;12.68427;79.397355
16A;"VIT UNIVERSITY";07:50:00;12.840658;80.153187
17;"KUTCHERY ROAD";06:20:00;13.034376;80.273227
17;LUZ;06:25:00;13.036978;80.266881
17;"MYLAPORE TANK";06:27:00;13.034305;80.268043
17;"MANDAVELI BSNL OFFICE";06:30:00;13.023044;80.263827
17;"ADYAR AAVIN";06:35:00;13.007937;80.259026
17;"TELEPHONE EXCHANGE ADYAR";06:40:00;13.000114;80.256366
17;"ADYAR DEPOT";06:42:00;12.998733;80.256126
17;"THIRUVANMIYUR JAYANTHI";06:45:00;12.989096;80.255945
17;"SRP TOOLS";06:50:00;12.978551;80.252643
17;VIT;07:50:00;12.840658;80.153187
"17A ";"TANSI NAGAR";06:50:00;12.978534;80.225314
"17A ";VELACHERY;06:55:00;12.975816;80.22125
"17A ";PALLIKARANAI;07:20:00;12.932946;80.203731
"17A ";MEDAVAKKAM;07:30:00;12.919734;80.182169
"17A ";VIT;07:50:00;12.840658;80.153187
18;"KUNDRATHUR ANDAR KUPPAM";06:40:00;12.997426;80.096452
18;"ANAGAPUTHUR BUS STAND";06:45:00;12.985101;80.123109
18;"SANKAR NAGAR";06:50:00;12.971078;80.12836
18;"CHROMPET BUS STAND";07:05:00;12.951441;80.140403
18;VANDALUR;07:30:00;12.879026;80.080709
18;"VIT ";07:50:00;12.840658;80.153187
18A;"PALLAVARAM MUNICIPALDITY";07:00:00;12.951748;80.137567
18A;"CHROMPET SARAVANA STORE";07:07:00;12.955961;80.143118
18A;"RAJENDRA PRASAD ROAD";07:12:00;12.941639;80.14422
18A;"BHARATHA MATHA STREET";07:15:00;12.928299;80.12692
18A;"MCC COLLEGE";07:16:00;12.923154;80.120892
18A;"VIT ";07:50:00;12.840658;80.153187
19;"NATRAJA THEATER";06:20:00;13.191961788294575; 80.18521453212603
19;"CHENNAI CORPORATION  (RIPON BUILDING)";06:25:00;13.081239;80.271749
19;"PANTHEON ROAD  ( EGMORE RAMADA HOTEL )";06:30:00;13.072147;80.259852
19;"DAILY THANTHI";06:35:00;13.080452;80.263535
19;AMINJIKARAI;06:45:00;13.07421;80.220789
19;VANDALUR;07:30:00;12.879026;80.080709
19;VIT;07:50:00;12.840658;80.153187
19A;SKYWALK;06:50:00;13.07412;80.220845
19A;NERKUNDRAM;06:55:00;13.073385;80.184838
19A;"MATHURAVOYAL  TOLL ";07:10:00;13.061206;80.163753
19A;VANDALUR;07:40:00;12.879026;80.080709
19A;VIT;07:50:00;12.840658;80.153187
20;"ADYAR AAVIN ";06:42:00;13.007951;80.259024
20;"ADAYAR TELEPHONE EXANGE";06:45:00;13.000112;80.256372
20;"THIRUVANMIYUR JAYANTHI";06:50:00;12.987718;80.254901
20;"SRP TOOLS";06:47:00;12.978544;80.252629
20;"PTC QUARTERS";06:50:00;12.941526;80.236337
20;NAVALUR;07:00:00;12.844758;80.226694
20;"KELAMBAKKAM JUNCTION";07:30:00;12.789791;80.22158
20;VIT;07:50:00;12.840658;80.153187
20A;"AMERICAN SCHOOL";06:55:00;12.981053;80.246661
20A;KANDANCHAVADI;07:00:00;12.965145;80.247459
20A;KARAPAKKAM;07:05:00;12.913464;80.22909
20A;"SHOLINGANALLUR JUNCTION";07:10:00;12.900904;80.228328
20A;"KELAMBAKKAM JUNCTION";07:30:00;12.789853;80.221594
20A;VIT;07:50:00;12.840658;80.153187
21;"CHENGALPATTU (GOVT. HOSPITAL)";06:55:00;12.683755;79.983198
21;S.P.KOIL;07:00:00;12.871212;79.937355
21;"MARAIMALAI NAGAR";07:20:00;12.799793;80.023183
21;KOTTANKULATHUR;07:25:00;12.809319;80.029397
21;"VIT ";07:50:00;12.840658;80.153187
21A;"MAHENDRA CITY";07:00:00;12.743454;79.992697
21A;POTHERY;07:10:00;12.820098;80.03672
21A;GUDUVANCHERI;07:30:00;12.845445;80.061442
21A;URAPAKKAM;07:40:00;12.864269;80.074266
21A;"VANDALUR ZOO";07:45:00;12.879026;80.080709
21A;"VIT ";07:50:00;12.840658;80.153187
22;"MUDICHUR (ATTA COMPANY)";06:45:00;12.915015;80.072197
22;"TAMBARAM HENKALA";06:55:00;12.928104;80.119364
22;"TAMBARAM  RLY STATION";07:00:00;12.926702;80.11799
22;IRUMBULIYUR;07:05:00;12.916636;80.106614
22;PEERKANKARANAI;07:07:00;12.908844;80.098579
22;PERUNGALATHUR;07:15:00;12.905615;80.095901
22;SADHANATHAPURAM;07:20:00;12.897977;80.107959
22;ALAPAKKAM;07:25:00;12.886823;80.107156
22;"NEDUKUNDRAM TVS";07:30:00;12.880193;80.108744
22;KOLAPAKKAM;07:35:00;12.870641;80.10661
22;KANDIGAI;07:40:00;12.85097;80.140569
22;VIT;07:45:00;12.840658;80.153187
22A;"MADRAS CHRISTIAN COLLEGE (MCC) ";07:00:00;12.92319;80.120806
22A;"CAMP ROAD";07:25:00;12.922457;80.143155
22A;"MAHALAKSHMI NAGAR";07:30:00;11.01211;77.297455
22A;"BHARATH UNIVERSITY";07:40:00;12.907163;80.142471
22A;MAPPEDU;07:45:00;12.891023;80.140697
22A;VIT;07:50:00;12.840658;80.153187
23;MOOLAKADAI;06:25:00;13.128598;80.241804
23;"MADHAVARAM ROUNDANA";06:30:00;13.14474;80.219529
23;RETTERI;06:35:00;13.134124;80.215827
23;"SENTHIL NAGAR";06:40:00;13.123377;80.202207
